decision,count,percent
RULE_LOW_RISK,61818,93.8100368757303
QWEN_PASS_RISK_REVIEW,2147,3.2581149369470532
QWEN_MINOR_RISK_REVIEW,949,1.4401262576445057
QWEN_PASS_AUTO_ACCEPT_AUDIT,463,0.702611651516761
QWEN_SECOND_CONFIRMED_FAIL,414,0.6282531829977085
QWEN_SECOND_QUARANTINE,42,0.06373583015918782
QWEN_SECOND_DOWNGRADED_MINOR,29,0.0440080732051535
QWEN_MINOR_AUTO_ACCEPT_AUDIT,25,0.037937994142373706
QWEN_SECOND_RESOLVED_PASS,5,0.007587598828474741
QWEN_SECOND_JUDGE_ERROR,3,0.004552559297084844
QWEN_SECOND_RESOLVED_MINOR,2,0.0030350395313898963
