pair_id,en,uz,source,source_version,source_line,license,commercial_status,source_url,labse_score,llm_label,llm_confidence,llm_reason,ranking_score
c0b668867e343772281f,"↑ Akhavan-Majid, Roya (December 1, 2004).","↑ Akhavan-Majid, Roya (1 December 2004).",wikimedia,v20260327,731462,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99710953,correct,1.0,,0.9984102415
e79a687a5b4f93b73a6e,"""On the Impossibility of Informationally Efficient Markets"" (1980), by Sanford J. Grossman and Joseph E. Stiglitz.","""On the Impossibility of Informationally Efficient Markets"" (1980), Sanford J. Grossman va Joseph E. Stiglitz.",wikimedia,v20260327,384583,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9959601,correct,1.0,,0.9977780550000002
9e3b6507a1c6f0969d13,"V 1908, p. 72","V 1908, s. 72",wikimedia,v20260327,571696,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9955456,correct,1.0,,0.9975500800000001
55f914d2ae364f1693b4,Pamela Landy 2008 Death Race Prison Warden Claire Hennessey Nominated—Saturn Award for Best Supporting Actress 2009 Hachi: A Dog's Tale Kate Wilson 2012 The Bourne Legacy CIA Dep.,Pamela Landy 2008 Death Race Prison Warden Claire Hennessey Nominatsiya—Saturn Award for Best Supporting Actress 2009 Hachi: A Dog's Tale Kate Wilson 2012 The Bourne Legacy CIA Dep.,wikimedia,v20260327,114932,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99552464,correct,1.0,,0.997538552
4396c6ac8368af0b4ffe,"1986 Los Angeles, U.S. Hard John McEnroe Stefan Edberg Anders Järryd 6–3, 5–7, 6–7 Win 57.","1986 Los Angeles, U.S. Hard John McEnroe Stefan Edberg Anders Järryd 6–3, 5–7, 6–7 G`alaba 57.",wikimedia,v20260327,201824,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99530315,correct,1.0,,0.9974167325000001
bf5a3d2b5fc15da1864f,"Superior People Who Drive Russia Forward"" April 1876 I 1 ""Minor Cultural Types.","Superior People Who Drive Russia Forward"" Aprel 1876 I 1 ""Minor Cultural Types.",wikimedia,v20260327,1257848,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9952995,correct,1.0,,0.9974147250000001
56bb06124a8e39855126,"1974, p. 655 1 2 Poitevin 1927, pp. 2–4 ↑ ""Quercyite"".","1974, s. 655 1 2 Poitevin 1927, pp. 2–4 ↑ „Quercyite“.",wikimedia,v20260327,556763,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99523175,correct,1.0,,0.9973774625
fa31f57f550ceaaa4111,"1 2 3 IMAI, Ichiro (March 1982), ""Small Stock Management and the Goat Naming System of the Pastoral Gabra"", African Study Monographs.","1 2 3 IMAI, Ichiro (March 1982), ""Small Stock Management and the Goat Naming System of the Pastoral Gabra"" (en), African Study Monographs.",wikimedia,v20260327,467705,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9951777,correct,1.0,,0.9973477350000002
e7fbc71785a2f0e025ae,"1983 Los Angeles, U.S. Hard John McEnroe Sandy Mayer Ferdi Taygan 6–1, 6–2 Win 41.","1983 Los Angeles, U.S. Hard John McEnroe Sandy Mayer Ferdi Taygan 6–1, 6–2 G`alaba 41.",wikimedia,v20260327,201804,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9937892,correct,1.0,,0.99658406
7bf8746474d5491ecef5,"1981 US Open, New York Hard John McEnroe Heinz Günthardt Peter McNamara DEF Win 35.","1981 US Open, New York Hard John McEnroe Heinz Günthardt Peter McNamara DEF G`alaba 35.",wikimedia,v20260327,201791,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9937697,correct,1.0,,0.9965733350000001
95744e0e4988592166b6,Rama Madhav - 2014 Prem Mhanje Prem Mhanje Prem Asta - 2013 Ti and Ti - 2019,Rama Madhav - 2014 Prem Mhanje Prem Mhanje Prem Asta - 2013 Ti va Ti - 2019,wikimedia,v20260327,321102,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99349564,correct,1.0,,0.996422602
c35e1cd8c1df75315680,Masters 1000 finals,Masters 1000 finali,wikimedia,v20260327,357343,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9932145,correct,1.0,,0.9962679750000001
1015d28d43d5d3ddf688,"30 March 1987 ITF Adelaide, Australia Hard Louise Field Colleen Carney Alison Scott 6–1, 1–6, 6–4 Winner 16.","30 March 1987 ITF Adelaide, Australia Hard Louise Field Colleen Carney Alison Scott 6–1, 1–6, 6–4 G'alaba 16.",wikimedia,v20260327,249322,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9931359,correct,1.0,,0.9962247450000001
