pair_id,en,uz,source,source_version,source_line,license,commercial_status,source_url,labse_score
76ceb37fa51893ebace6,"She traps Spider-Man in the vault, reveals her deception, and escapes with Hammerhead's flash drive.","She traps Spider-Man in the vault, reveals her deception, and escapes with Hammerheadʻs flash drive.",wikimedia,v20260327,44283,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9988679
ce918dd3c643ffaf5cad,Shannon Daddy Day Camp Kim Hinton Protect and Serve Sharon Harvey TV Movie 2008 Show Stoppers Renee The Hustle Nikki Who's Deal?,Shannon Daddy Day Camp Kim Hinton Protect and Serve Sharon Harvey TV Film 2008 Show Stoppers Renee The Hustle Nikki Who's Deal?,wikimedia,v20260327,172151,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99872196
b230bc52d20aef7daf98,"1 2 (in Dutch) Jan & Andries Both biography in De groote schouburgh der Nederlantsche konstschilders en schilderessen (1718) by Arnold Houbraken, courtesy of the Digital library for Dutch literature 1 2 Jan Dirksz Both in the RKD","1 2 (niderlandcha) Jan & Andries Both biography in De groote schouburgh der Nederlantsche konstschilders en schilderessen (1718) by Arnold Houbraken, courtesy of the Digital library for Dutch literature 1 2 Jan Dirksz Both in the RKD",wikimedia,v20260327,567565,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99864894
e98633a259b19a1e985d,"She apologizes for her previous actions and returns the flash drive, which contains data on Hammerhead's weaknesses, so that Spider-Man can defeat him.","She apologizes for her previous actions and returns the flash drive, which contains data on Hammerheadʻs weaknesses, so that Spider-Man can defeat him.",wikimedia,v20260327,44285,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99844223
4bd4fc171767761b1144,"↑ Kawanishi Town official statistics (in Japanese) ↑ Kawanishi climate data ↑ Kawanishi population statistics ↑ ""Nature - YOKOSO!",↑ Kawanishi Town official statistics (yaponcha) ↑ Kawanishi climate data ↑ Kawanishi population statistics ↑ „Nature - YOKOSO!,wikimedia,v20260327,629311,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9979017
48cd3b6e4e219d1f083c,"She has appeared in multiple photo books, movies, and TV series in Japan and her DVD sets are popular in Japan, the United States, and Europe.","She has appeared in multiple photo books, movies, and TV series in Japan and uning DVD sets are popular in Japan, the United States, and Europe.",wikimedia,v20260327,963877,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9976613
7997c79172839402c1e6,"↑ Kiyosu City official statistics (in Japanese) ↑ Kiyosu climate data ↑ Kiyosu population statistics ↑ ""市町村合併情報 愛知県 ＜国土地理協会＞"".",↑ Kiyosu City official statistics (yaponcha) ↑ Kiyosu climate data ↑ Kiyosu population statistics ↑ „市町村合併情報 愛知県 ＜国土地理協会＞“.,wikimedia,v20260327,908607,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9976257
f9cb0a4d8428df529bba,Firozpur Zira Guru Har Sahai,Firozpur Zira Guru Har Sahay,wikimedia,v20260327,712514,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99737155
daf5c2810b7d3ba5a2ad,Diehl Defence GmbH & Co.,Diehl Defense GmbH & Co.,wikimedia,v20260327,618718,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99733317
4dee98e43b7958c5e84a,"Karan Kapoor Kapoor in August 2016 Born (1962-01-18) 18 January 1962 (age 60) Mumbai, Maharashtra, India Occupation Actor, photographer, model, businessman Years active 1962-present Spouse Lorna Kapoor Children 2 Parent(s) Shashi Kapoor Jennifer Kendal Relatives See Kapoor family","Karan Kapoor Kapoor in August 2016 Born (1962-01-18) 1962-yil 18-yanvar (60 yosh) Mumbai, Maharashtra, India Occupation Actor, photographer, model, businessman Years active 1962-present Spouse Lorna Kapoor Children 2 Parent(s) Shashi Kapoor Jennifer Kendal Relatives See Kapoor family",wikimedia,v20260327,810317,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.99724185
b652ed53c75052892c47,"Retrieved on May 19, 2016. ↑ ""Sky deal Dupree for 2 players,"" ESPN.com, May 30, 2010. ↑ McGraw, Patricia Babcock, ""Dupree says it was time to move on from Sky,"" Chicago Daily Herald, March 30, 2010. ↑ ""Mercury Trade Candice Dupree to Indiana in Three-Team Deal"".","Retrieved on May 19, 2016. ↑ ""Sky deal Dupree for 2 players,"" ESPN.com, May 30, 2010. ↑ McGraw, Patricia Babcock, ""Dupree says it was time to move on from Sky,"" Chicago Daily Herald, March 30, 2010. ↑ „Mercury Trade Candice Dupree to Indiana in Three-Team Deal“ (en).",wikimedia,v20260327,145089,Upstream Wikimedia terms vary; commonly CC BY-SA/GFDL,attribution_sharealike_legal_review_required,https://object.pouta.csc.fi/OPUS-wikimedia/v20260327/moses/en-uz.txt.zip,0.9971287
