pair_id,llm_label,llm_confidence,llm_reason
76ceb37fa51893ebace6,wrong,1.0,未翻译
ce918dd3c643ffaf5cad,wrong,1.0,未翻译
b230bc52d20aef7daf98,wrong,1.0,未翻译
e98633a259b19a1e985d,wrong,1.0,未翻译
4bd4fc171767761b1144,minor,1.0,部分翻译
48cd3b6e4e219d1f083c,wrong,1.0,未翻译
7997c79172839402c1e6,minor,1.0,部分翻译
f9cb0a4d8428df529bba,minor,1.0,拼写错误
daf5c2810b7d3ba5a2ad,minor,1.0,拼写错误
4dee98e43b7958c5e84a,wrong,1.0,未翻译
b652ed53c75052892c47,minor,1.0,部分翻译
c0b668867e343772281f,correct,1.0,
878b92504eae0c18e1bd,wrong,1.0,未翻译
149f8f2b6907252e5217,minor,1.0,部分翻译
75e1df1f0197a67618e7,minor,1.0,部分翻译
cb2fe3e56bc3539b5f97,minor,1.0,部分翻译
602e07d6affaeba47ea2,wrong,1.0,顺序错误
26eb37bf7f30e1cd5f02,minor,1.0,拼写错误
6369499a30d647016203,minor,1.0,部分翻译
9ecc64f364472fbce744,minor,1.0,部分翻译
4440dc325a42e602a1ab,minor,1.0,部分翻译
9a143df47b34b3a3d394,minor,1.0,部分翻译
ccb71b3fee17bd4654fd,minor,1.0,拼写错误
62c3906bc0225d6b11fb,minor,1.0,部分翻译
83da50b7f815bb8fffdc,minor,1.0,部分翻译
257e0111f6a71be1ecd2,minor,1.0,专名和单位不一致
8bfdcc9e303754e6071e,minor,1.0,专名和单位不一致
f62a08e41ad154040f19,minor,1.0,专名和单位不一致
f58d0f57e640dc764511,wrong,1.0,最后一个名字的首字母不同
b2c18d8c70f125417df9,minor,1.0,专名和单位不一致
6292cda0d1200596f404,minor,1.0,专名和单位不一致
7e281ec5fb86152afc78,minor,1.0,专名和单位不一致
f46141167bbaac82dae0,minor,1.0,专名和单位不一致
f9ef2ed11c5ede8b9bd8,minor,1.0,专名和单位不一致
7c9337f321954eb3f439,minor,1.0,专名和单位不一致
f63d655e61dc85c3969d,minor,1.0,专名和单位不一致
daaa9899c697bbbc12ea,minor,1.0,专名拼写不一致
0e6c87fd4b3890226568,minor,1.0,专名和单位不一致
2834871a4190f8a958c4,minor,1.0,专名和单位不一致
096d59a31065e7665fb9,minor,1.0,专名和单位不一致
ae5e417ea8e838bfd9cf,minor,1.0,专名和单位不一致
c4fc409918df1f9b9175,minor,1.0,专名和单位不一致
0a362ada73b9d4645152,minor,1.0,专名和单位不一致
6b437a667e5fb206aa45,minor,1.0,专名和单位不一致
311bbac550c1eecbb42b,minor,1.0,专名和单位不一致
fcf2b2e1c1c0b98291de,minor,1.0,专名和单位不一致
7b438c96cc3bd9db8050,minor,1.0,专名和单位不一致
658896f0c3ca24d0d488,minor,1.0,专名和单位不一致
a9934973e75fb1fa49c2,minor,1.0,专名和单位不一致
8b6c3a62969fae9bc5b7,minor,1.0,专名和单位不一致
7b7ea0fb97f550815f97,minor,0.8,专名不一致
667446826af8b276bdb1,minor,0.9,数字和专名不一致
e79a687a5b4f93b73a6e,correct,1.0,
8e440c4a59e8f0b480c6,minor,0.8,专名不一致
baac4af8bab23b6d4bff,minor,0.8,专名不一致
fb3737969885cb6a1991,minor,0.8,专名不一致
81a3b05f584bcd9216d7,minor,0.8,专名不一致
b22e2240b8e137de3fb8,minor,0.8,专名不一致
0aff15a24a12fe08c64b,minor,0.8,专名不一致
e35c289278a0983cc10a,minor,0.8,专名不一致
