pair_id,en,uz,source,source_version,source_line,license,commercial_status,source_url,labse_score,token_overlap,english_function_words_in_uz,char_similarity,local_reject,local_reject_reason
0c6142a1c8af58d79bb0,Where does your mother live?,Onang qayerda yashaydi?,Tatoeba,v2026-07-08,437,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9525956,0.0,0,0.313725,False,
7f314e778a82e5e5c63c,We eat.,Biz yeyapmiz.,Tatoeba,v2026-07-08,405,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.95203173,0.0,0,0.3,False,
289a372961358053210d,I live between two worlds.,Ikki dunyo orasida yashayman.,Tatoeba,v2026-07-08,486,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.95200694,0.0,0,0.363636,False,
31f028489a479d2fba5c,He is not a doctor.,U doktor emas.,Tatoeba,v2026-07-08,86,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9519573,0.0,0,0.424242,False,
fd06ebeaf8e6fda0260b,Who do you want to speak to?,Kim bilan gaplashmoqchisiz?,Tatoeba,v2026-07-08,38,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.95113415,0.0,0,0.254545,False,
c16174058d34309f96e1,He is Japanese.,U yapon.,Tatoeba,v2026-07-08,250,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.95079195,0.0,0,0.434783,False,
e342866ff93db5682e8e,This is my book.,Bu mening kitobim.,Tatoeba,v2026-07-08,174,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9507844,0.0,0,0.294118,False,
9bbcda72ce17b067ce8a,He answered the question.,So‘roqqa javob berdi.,Tatoeba,v2026-07-08,484,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9506674,0.0,0,0.304348,False,
24e49622c4d572e8c16c,Where's our son?,O‘g‘limiz qayerda?,Tatoeba,v2026-07-08,479,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.95062125,0.0,0,0.176471,False,
53dc825848922cca46da,I have money.,Menda pul bor.,Tatoeba,v2026-07-08,259,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9506143,0.0,0,0.296296,False,
