pair_id,v2_label,v2_confidence,v2_reason
0c6142a1c8af58d79bb0,correct,1.0,
7f314e778a82e5e5c63c,correct,1.0,
289a372961358053210d,correct,1.0,
31f028489a479d2fba5c,correct,1.0,
fd06ebeaf8e6fda0260b,correct,1.0,
c16174058d34309f96e1,correct,1.0,
e342866ff93db5682e8e,correct,1.0,
9bbcda72ce17b067ce8a,correct,1.0,
24e49622c4d572e8c16c,correct,1.0,
53dc825848922cca46da,correct,1.0,
132c341dbf323bf7c796,correct,1.0,
a79b6909f9f547e8ec3f,correct,1.0,
34af39ff5fdb07e9953f,correct,1.0,
c3049c42e8b6a66b37a9,correct,1.0,
15ecde7555110fad4501,correct,1.0,
8e5e5d1f67a6d74cbab8,correct,1.0,
fadfb7d7e92172b6e5ab,wrong,0.9,Grammar error: 'Siz mening tushunayapsizmi?' should be 'Siz meni tushunyapsizmi?' or 'Menga tushunyapsizmi?'.
a618a1c443600aacf5d2,correct,1.0,
971309fec8ce92cd0301,correct,1.0,
e29572804069e17dbd34,correct,1.0,
5f109f96178f674ec27c,correct,1.0,
577b1361f682b0e8e2c7,correct,1.0,
2755be5b5fe56fa0633a,correct,1.0,
c599738d15e9edb63f0b,correct,1.0,
69e39c55fbba96ecaaea,correct,1.0,
d4348d8d34185e9159d8,correct,1.0,
3c6adbae2e6fd3a765ff,correct,1.0,
0cc79c14e50736c04152,correct,1.0,
1218ff845da1826bfcc7,correct,1.0,
0b4de9ad2d4005a48680,correct,1.0,
5f3ec1d518303b80a97c,correct,1.0,
aeaa9f0f192d1ba458a4,correct,1.0,
757dbd0355ac6c8bd119,correct,1.0,
8f6d93063be166f83063,correct,1.0,
1ebca1817c34560370ec,correct,1.0,
a64c453cbf4cc4789cde,correct,1.0,
08bb2bbd7fdf07a173b5,correct,1.0,
fd33b20a38c867b0552c,minor,0.9,Spelling: 'to'ldirip' should be 'to'ldirib'
2ecce7432a65762e666a,correct,1.0,
cadd7d04b1aa2cdb6b73,correct,1.0,
0bc0603261765f9dc902,correct,1.0,
a5f4cd5c501027aaa77a,correct,1.0,
f4ad1ccad951858db92e,correct,1.0,
7ba77584104da12b77be,correct,1.0,
ead888092bd1500c8633,correct,1.0,
