pair_id,en,uz,source,source_version,source_line,license,commercial_status,source_url,labse_score,token_overlap,english_function_words_in_uz,char_similarity,local_reject,local_reject_reason,llm_label,llm_confidence,llm_reason,selection_stage,final_llm_confidence,v2_label,v2_confidence,v2_reason,auditor_model,final_rank
4107931ac8bfda461525,He answered the question.,Savolga javob berdi.,Tatoeba,v2026-07-08,485,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.95737994,0.0,0,0.311111,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.980820973
3e135f6830c7f12cbc70,My telephone number is 9876-5432.,Telefon raqamim 9876-5432.,Tatoeba,v2026-07-08,445,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.96961343,0.0,0,0.677966,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.9863260435
85671e932419a6afe0f1,I live in a rural area.,Qishloq joyida yashayman.,Tatoeba,v2026-07-08,273,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.93207514,0.0,0,0.375,False,,,,,v2_new_audit,1.0,correct,1.0,,qwen3.6-plus,0.9694338130000001
2df2625431afcf7917bf,This is my passport.,Bu mening pasportim.,Tatoeba,v2026-07-08,477,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9278013,0.0,0,0.55,False,,,,,v2_new_audit,1.0,correct,1.0,,qwen3.6-plus,0.967510585
c51bf73dfa3f74693cef,Didn't you see my birds?,Sen mening qushlarimni ko'rmadingmi?,Tatoeba,v2026-07-08,214,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9287585,0.0,0,0.2,False,,,,,v2_new_audit,1.0,correct,1.0,,qwen3.6-plus,0.9679413250000001
25c7f18db13d570cb03b,What do you believe in?,Nimaga ishonasan?,Tatoeba,v2026-07-08,358,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.90205556,0.0,0,0.25,False,,,,,v2_new_audit,1.0,correct,1.0,,qwen3.6-plus,0.955925002
17278438533e571da6e3,I dreamt a strange dream.,G'ayritabiiy tush ko'rdim.,Tatoeba,v2026-07-08,316,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.8464834,0.0,0,0.196078,False,,,,,v2_new_audit,1.0,correct,1.0,,qwen3.6-plus,0.93091753
4c0d263fc2db84d4aaf6,Spring came.,Bahor keldi.,Tatoeba,v2026-07-08,396,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.93570757,0.0,0,0.25,False,,,,,v2_new_audit,1.0,correct,1.0,,qwen3.6-plus,0.9710684065
cf3b1f08fe4bbd0ed785,I'm dangerous.,Men xavfliman.,Tatoeba,v2026-07-08,346,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.96599865,0.0,0,0.357143,False,,correct,1.0,,v1_reused_after_local_filter,1.0,,,,,0.9846993924999999
3075edf6e6703496e0a6,You will see.,Ko'rasiz.,Tatoeba,v2026-07-08,294,CC BY 2.0 FR,attribution_required,https://object.pouta.csc.fi/OPUS-Tatoeba/v2026-07-08/moses/en-uz.txt.zip,0.9143046,0.0,0,0.272727,False,,,,,v2_new_audit,1.0,correct,1.0,,qwen3.6-plus,0.96143707
