pair_id,v2_label,v2_confidence,v2_reason,auditor_model
0c6142a1c8af58d79bb0,correct,1.0,,qwen3.6-plus
7f314e778a82e5e5c63c,correct,1.0,,qwen3.6-plus
289a372961358053210d,correct,1.0,,qwen3.6-plus
31f028489a479d2fba5c,correct,1.0,,qwen3.6-plus
fd06ebeaf8e6fda0260b,correct,1.0,,qwen3.6-plus
c16174058d34309f96e1,correct,1.0,,qwen3.6-plus
e342866ff93db5682e8e,correct,1.0,,qwen3.6-plus
9bbcda72ce17b067ce8a,correct,1.0,,qwen3.6-plus
24e49622c4d572e8c16c,correct,1.0,,qwen3.6-plus
53dc825848922cca46da,correct,1.0,,qwen3.6-plus
132c341dbf323bf7c796,correct,1.0,,qwen3.6-plus
a79b6909f9f547e8ec3f,correct,1.0,,qwen3.6-plus
34af39ff5fdb07e9953f,correct,1.0,,qwen3.6-plus
c3049c42e8b6a66b37a9,correct,1.0,,qwen3.6-plus
15ecde7555110fad4501,correct,1.0,,qwen3.6-plus
8e5e5d1f67a6d74cbab8,correct,1.0,,qwen3.6-plus
fadfb7d7e92172b6e5ab,wrong,0.9,Grammar error: 'Siz mening tushunayapsizmi?' should be 'Siz meni tushunyapsizmi?' or 'Menga tushunyapsizmi?'.,qwen3.6-plus
a618a1c443600aacf5d2,correct,1.0,,qwen3.6-plus
971309fec8ce92cd0301,correct,1.0,,qwen3.6-plus
e29572804069e17dbd34,correct,1.0,,qwen3.6-plus
5f109f96178f674ec27c,correct,1.0,,qwen3.6-plus
577b1361f682b0e8e2c7,correct,1.0,,qwen3.6-plus
2755be5b5fe56fa0633a,correct,1.0,,qwen3.6-plus
c599738d15e9edb63f0b,correct,1.0,,qwen3.6-plus
69e39c55fbba96ecaaea,correct,1.0,,qwen3.6-plus
d4348d8d34185e9159d8,correct,1.0,,qwen3.6-plus
3c6adbae2e6fd3a765ff,correct,1.0,,qwen3.6-plus
0cc79c14e50736c04152,correct,1.0,,qwen3.6-plus
1218ff845da1826bfcc7,correct,1.0,,qwen3.6-plus
0b4de9ad2d4005a48680,correct,1.0,,qwen3.6-plus
5f3ec1d518303b80a97c,correct,1.0,,qwen3.6-plus
aeaa9f0f192d1ba458a4,correct,1.0,,qwen3.6-plus
757dbd0355ac6c8bd119,correct,1.0,,qwen3.6-plus
8f6d93063be166f83063,correct,1.0,,qwen3.6-plus
1ebca1817c34560370ec,correct,1.0,,qwen3.6-plus
a64c453cbf4cc4789cde,correct,1.0,,qwen3.6-plus
08bb2bbd7fdf07a173b5,correct,1.0,,qwen3.6-plus
fd33b20a38c867b0552c,minor,0.9,Spelling: 'to'ldirip' should be 'to'ldirib',qwen3.6-plus
2ecce7432a65762e666a,correct,1.0,,qwen3.6-plus
cadd7d04b1aa2cdb6b73,correct,1.0,,qwen3.6-plus
0bc0603261765f9dc902,correct,1.0,,qwen3.6-plus
a5f4cd5c501027aaa77a,correct,1.0,,qwen3.6-plus
f4ad1ccad951858db92e,correct,1.0,,qwen3.6-plus
7ba77584104da12b77be,correct,1.0,,qwen3.6-plus
ead888092bd1500c8633,correct,1.0,,qwen3.6-plus
3377bbbf833f1402173f,correct,1.0,,qwen3.6-plus
288bada7ac6c8927bbd4,correct,1.0,,qwen3.6-plus
29f0dd5b8bc00dcb4c87,correct,1.0,,qwen3.6-plus
02507bcfdb84f545f908,wrong,0.9,Unnatural/archaic phrasing: 'ila o'lmaq istayiram' instead of 'bilan o'lmoqchiman',qwen3.6-plus
73cb745dd97aeb9ef041,correct,1.0,,qwen3.6-plus
c638eefaa6629519ce60,correct,1.0,,qwen3.6-plus
0ebc34878348d1f238b9,correct,1.0,,qwen3.6-plus
6b4b8dbe424a3204d133,correct,1.0,,qwen3.6-plus
d7084c8468a4b5428ded,correct,1.0,,qwen3.6-plus
4c0d263fc2db84d4aaf6,correct,1.0,,qwen3.6-plus
bc33adcbf9fbce9dd005,correct,1.0,,qwen3.6-plus
354caa32513db9507970,correct,1.0,,qwen3.6-plus
e9755683b2567066a713,correct,1.0,,qwen3.6-plus
315336c4c977e80ce7e1,correct,1.0,,qwen3.6-plus
377b7213b0ac93dee6e8,wrong,0.9,'tushungani yo'q' is grammatically incorrect; should be 'tushunmadi',qwen3.6-plus
c94fafeaab4be67148dc,correct,1.0,,qwen3.6-plus
cf176d3541b833724c19,correct,1.0,,qwen3.6-plus
0957b792762bb17febde,correct,1.0,,qwen3.6-plus
85671e932419a6afe0f1,correct,1.0,,qwen3.6-plus
49b675b2512df51d06a3,correct,1.0,,qwen3.6-plus
57f8406c24f4933df10d,correct,1.0,,qwen3.6-plus
3449e9d1124abb4033fe,correct,1.0,,qwen3.6-plus
bfc98833c82aa12d8343,correct,1.0,,qwen3.6-plus
01898f869ba4fd208f97,correct,1.0,,qwen3.6-plus
3207fd0728a0679b4a2b,correct,1.0,,qwen3.6-plus
516ff8ca7936a0abd3f0,correct,1.0,,qwen3.6-plus
fe0a00662b0b39f2cd79,correct,1.0,,qwen3.6-plus
37baf8ddd15c9022a719,correct,1.0,,qwen3.6-plus
bbb1e2d1bffaf80fbfb7,correct,1.0,,qwen3.6-plus
c51bf73dfa3f74693cef,correct,1.0,,qwen3.6-plus
c402bcdf3108e4f567f0,correct,1.0,,qwen3.6-plus
8445e8b33925a93d262d,correct,1.0,,qwen3.6-plus
290654dba9b451cd2066,correct,1.0,,qwen3.6-plus
f1ae8aedd8c6c9f6b443,correct,1.0,,qwen3.6-plus
2df2625431afcf7917bf,correct,1.0,,qwen3.6-plus
62a72e530c8708c58a12,correct,1.0,,qwen3.6-plus
226a9d2b1cbbba075d8c,correct,1.0,,qwen3.6-plus
0b40e051dec8aed53526,correct,1.0,,qwen3.6-plus
e693a4933262b881eb09,correct,1.0,,qwen3.6-plus
0afc286db5f646187e24,correct,1.0,,qwen3.6-plus
51c6c9ebc1377aaca495,correct,1.0,,qwen3.6-plus
b94c83c9de6e5262f887,correct,1.0,,qwen3.6-plus
26762f0387350b14363b,minor,0.8,Tense mismatch: 'eat' (simple) vs 'yeyapsiz' (present continuous),qwen3.6-plus
2e39d8bb6e25e91374f0,correct,1.0,,qwen3.6-plus
93b0701f20be79dd557d,correct,1.0,,qwen3.6-plus
66b842fb90d00ba18cc9,correct,1.0,,qwen3.6-plus
15a1f30c25bcb6d4ba6b,correct,1.0,,qwen3.6-plus
be8cc920a1934b8e8fee,correct,1.0,,qwen3.6-plus
067768f410649988574f,correct,1.0,,qwen3.6-plus
a8fe1043d612d467c0bd,correct,1.0,,qwen3.6-plus
8854bb8d8dfa27d1c84a,correct,1.0,,qwen3.6-plus
9f5597208f9aab5539d3,correct,1.0,,qwen3.6-plus
7b1f78f794b4dfb05233,correct,1.0,,qwen3.6-plus
e3440d4b1407e5e9f1bc,correct,1.0,,qwen3.6-plus
d45c6ad03a018c07fc8c,correct,1.0,,qwen3.6-plus
7b8e256db49775d2d6b5,correct,1.0,,qwen3.6-plus
22e0489f29203d8f7f06,correct,1.0,,qwen3.6-plus
d8d12a0d622f900dbf5d,correct,1.0,,qwen3.6-plus
8beea02a5c4c1a983b49,correct,1.0,,qwen3.6-plus
228a8d75ebc689115152,correct,1.0,,qwen3.6-plus
8836b6b438591fce07aa,wrong,0.9,Pronoun mismatch: 'it' translated as 'U' (he/she/it) instead of 'bu' (this/it),qwen3.6-plus
5b4f7bafcdfcd8182696,correct,1.0,,qwen3.6-plus
b8d5abd34931ce5c2ca4,correct,1.0,,qwen3.6-plus
4cd0b0c6b276a557a981,correct,1.0,,qwen3.6-plus
5e9a5f0fc5b414d1dc54,correct,1.0,,qwen3.6-plus
ff06aed462638bda4125,wrong,0.9,'Successor' mistranslated as 'davomchi' (continuer) instead of 'voris' or 'o'rinbosar',qwen3.6-plus
4eb2db3f5012ad9cab72,correct,1.0,,qwen3.6-plus
61f2087640aabb229a2d,correct,1.0,,qwen3.6-plus
376bafd6bd9adcee9d20,correct,1.0,,qwen3.6-plus
3318007e18ef6ee31a90,correct,1.0,,qwen3.6-plus
9347194cca27d5573cbc,correct,1.0,,qwen3.6-plus
b40d826c73ac351b9e4b,wrong,0.9,Missing negation: 'haven't found' translated as 'topmadilar' (didn't find) instead of 'topa olmadilar' or 'topishmadi',qwen3.6-plus
3075edf6e6703496e0a6,correct,1.0,,qwen3.6-plus
961934e141ff78692a1c,wrong,0.9,'Painting' mistranslated as 'bo'yash' (painting walls) instead of 'rassomchilik' or 'tasviriy san'at',qwen3.6-plus
e37e4a743c2f6d1f3818,correct,1.0,,qwen3.6-plus
53df9ae8f389d0e2f186,correct,1.0,,qwen3.6-plus
358c77de95bd2cf70298,correct,1.0,,qwen3.6-plus
5dcc2cbe4cd0773e3b3f,correct,1.0,,qwen3.6-plus
a3d0655314bfcb27ca22,correct,1.0,,qwen3.6-plus
61bdda3d1503b4712108,correct,1.0,,qwen3.6-plus
91e86d88d23164f6402c,correct,1.0,,qwen3.6-plus
ef7b1dbc4169e6f8a398,correct,1.0,,qwen3.6-plus
30a07208c8e43eabf8ff,minor,0.9,Missing preposition 'ga' after 'maktab' (should be 'maktabga yaqinida'),qwen3.6-plus
9d24954641d35de68c53,correct,1.0,,qwen3.6-plus
d089bf9c66e6d2178650,correct,1.0,,qwen3.6-plus
5d2c88eae53be4218b8c,correct,1.0,,qwen3.6-plus
f105b3a49405b91f9c24,correct,1.0,,qwen3.6-plus
f820dd08a636f08cd012,correct,1.0,,qwen3.6-plus
5123144a60c7518a03ea,correct,1.0,,qwen3.6-plus
5601e89e6cfd48a34526,correct,1.0,,qwen3.6-plus
3121f0067fb3704fa620,correct,1.0,,qwen3.6-plus
4057c4a084f430361c49,correct,1.0,,qwen3.6-plus
72ae19fa083d266ec558,correct,1.0,,qwen3.6-plus
5ddfefa6f72ae74eae05,correct,1.0,,qwen3.6-plus
e8d94e6ab2e0271bb04b,correct,1.0,,qwen3.6-plus
870db8b6777c73d66c68,correct,1.0,,qwen3.6-plus
13f8ce7e65a60786f4bc,correct,1.0,,qwen3.6-plus
e3cacc0b6ad261c56327,wrong,0.9,'Pragvada' is incorrect; should be 'Pragada' or 'Pragada',qwen3.6-plus
b301b121daf75b81de2b,correct,1.0,,qwen3.6-plus
c9ecfd9679b11462cea2,wrong,0.9,'bo'ldi' implies 'became'; should be 'edi' for 'was',qwen3.6-plus
25c7f18db13d570cb03b,correct,1.0,,qwen3.6-plus
3ac9f9230751d2550ac4,correct,1.0,,qwen3.6-plus
1073b8a38ecb1fcc7c8c,correct,1.0,,qwen3.6-plus
aa1525fa0d37bf233a87,correct,1.0,,qwen3.6-plus
8125da7e4deb13778c22,correct,1.0,,qwen3.6-plus
e8a94b373f9ce1822dff,correct,1.0,,qwen3.6-plus
5e9ba9a4f304b6c38aee,correct,1.0,,qwen3.6-plus
e1648d6588fcfc3b5fe8,correct,1.0,,qwen3.6-plus
5f2ccffc317afeb771cc,correct,1.0,,qwen3.6-plus
3069a7f40a4bec860f55,correct,1.0,,qwen3.6-plus
751dc7142b7786d5c546,correct,1.0,,qwen3.6-plus
b0af7a87d789c7a5d4c2,correct,1.0,,qwen3.6-plus
bd55c2c86ff34dee3776,correct,1.0,,qwen3.6-plus
8c0b096336ae4d722ca1,correct,1.0,,qwen3.6-plus
033efbd49b6fa4592706,correct,1.0,,qwen3.6-plus
46bacd6e1630ec40feef,correct,1.0,,qwen3.6-plus
9db6a451a2eda48df2c7,correct,1.0,,qwen3.6-plus
0d6b22f056e6208fda7c,correct,1.0,,qwen3.6-plus
11d51e4f9a48c52500f2,correct,1.0,,qwen3.6-plus
979c7958b68d87226dfe,correct,1.0,,qwen3.6-plus
6c9820df498c2415c241,correct,1.0,,qwen3.6-plus
c978d6ff566d3afc3784,correct,1.0,,qwen3.6-plus
